ESCUELA,EDAD,SEXO,EST_CIVIL,HIJOS,TRABAJA_ESTUDIA,VIVE_SOLO,NIVEL_SOCIO_ECON,SEMESTRE,PPACumulado,PPAnterior
ADMINISTRACIÓN,21,1,0,0,1,1,2,8,8.891,10.333
ADMINISTRACIÓN,26,1,0,0,1,1,0,10,15.199,15.278
ADMINISTRACIÓN,30,0,0,0,1,0,2,10,16.841,16.045
ADMINISTRACIÓN,25,1,0,1,0,0,2,9,14.883,16
ADMINISTRACIÓN,22,1,0,0,1,0,2,9,16.145,16.762
ADMINISTRACIÓN,22,1,0,0,0,0,2,4,14.3,15
ADMINISTRACIÓN,22,1,0,0,1,1,2,9,12.626,8.4
ADMINISTRACIÓN,24,0,0,0,1,0,0,8,14.225,13.5
ADMINISTRACIÓN,24,1,0,0,1,0,0,5,16.63,16.5
ADMINISTRACIÓN,22,1,0,0,1,1,2,10,14.762,14.8
ADMINISTRACIÓN,23,1,0,0,1,0,1,10,14.89,13
ADMINISTRACIÓN,20,1,0,0,1,0,2,4,14.778,15
ADMINISTRACIÓN,28,0,2,0,1,0,1,9,15.049,15.769
ADMINISTRACIÓN,29,1,0,1,1,0,2,10,14.777,15.05
ADMINISTRACIÓN,18,1,0,0,1,1,0,2,15.583,16.579
ADMINISTRACIÓN,34,0,0,0,1,1,1,6,15.505,15.762
ADMINISTRACIÓN,21,1,0,0,0,0,0,7,15.578,15.667
ADMINISTRACIÓN,26,1,0,1,1,1,2,7,13.063,14.556
ADMINISTRACIÓN,18,1,0,0,0,0,0,3,13.34,15.538
ADMINISTRACIÓN,19,1,0,0,1,0,2,5,16.066,17.318
ADMINISTRACIÓN,22,0,0,0,0,0,2,10,15.559,14.667
ADMINISTRACIÓN,21,0,0,0,0,0,0,3,15.015,15.364
ADMINISTRACIÓN,21,1,0,0,0,0,0,9,14.634,15.905
ADMINISTRACIÓN,25,0,0,0,0,0,2,7,16.788,16.619
